Filename,Predicted_Label
pic305.pgm,12
pic163.pgm,2
pic169.pgm,1
pic165.pgm,2
pic45.pgm,0
pic125.pgm,0
pic388.pgm,0
pic294.pgm,1
pic292.pgm,3
pic158.pgm,3
pic157.pgm,2
pic59.pgm,1
pic218.pgm,1
pic139.pgm,0
pic119.pgm,1
pic264.pgm,1
pic118.pgm,4
pic284.pgm,4
pic142.pgm,3
pic112.pgm,1
pic315.pgm,0
pic283.pgm,0
pic300.pgm,1
pic36.pgm,0
pic130.pgm,2
pic221.pgm,1
pic359.pgm,2
pic22.pgm,2
pic326.pgm,2
pic271.pgm,4
pic268.pgm,3
pic387.pgm,3
pic168.pgm,4
pic358.pgm,1
pic252.pgm,2
pic63.pgm,0
pic228.pgm,4
pic188.pgm,0
pic324.pgm,1
pic175.pgm,2
pic355.pgm,4
pic180.pgm,4
pic239.pgm,3
pic371.pgm,1
pic64.pgm,0
pic195.pgm,14
pic351.pgm,7
pic37.pgm,5
pic341.pgm,25
pic281.pgm,17
pic386.pgm,23
pic151.pgm,21
pic211.pgm,2
pic267.pgm,14
pic286.pgm,1
pic18.pgm,17
pic185.pgm,3
pic282.pgm,13
pic144.pgm,13
pic135.pgm,10
pic220.pgm,11
pic77.pgm,22
pic390.pgm,14
pic328.pgm,3
pic186.pgm,14
pic26.pgm,0
pic280.pgm,0
pic25.pgm,11
pic156.pgm,0
pic23.pgm,25
pic129.pgm,13
pic53.pgm,4
pic105.pgm,27
pic229.pgm,27
pic323.pgm,15
pic184.pgm,0
pic138.pgm,21
pic235.pgm,17
pic244.pgm,8
pic325.pgm,26
pic98.pgm,5
pic274.pgm,23
pic15.pgm,10
pic262.pgm,18
pic152.pgm,25
pic57.pgm,22
pic75.pgm,4
pic127.pgm,13
pic85.pgm,10
pic272.pgm,21
pic176.pgm,16
pic111.pgm,11
pic273.pgm,4
pic254.pgm,20
pic234.pgm,19
pic313.pgm,7
pic236.pgm,4
pic368.pgm,5
pic49.pgm,16
pic237.pgm,11
pic187.pgm,20
pic223.pgm,15
pic35.pgm,13
pic333.pgm,26
pic137.pgm,8
pic24.pgm,15
pic143.pgm,19
pic250.pgm,27
pic79.pgm,9
pic242.pgm,12
pic133.pgm,20
pic128.pgm,21
pic52.pgm,24
pic310.pgm,11
pic265.pgm,17
pic269.pgm,26
pic389.pgm,27
pic210.pgm,15
pic329.pgm,21
pic110.pgm,20
pic330.pgm,17
pic321.pgm,22
pic302.pgm,16
pic213.pgm,18
pic217.pgm,16
pic177.pgm,27
pic146.pgm,6
pic304.pgm,10
pic215.pgm,15
pic360.pgm,20
pic160.pgm,8
pic29.pgm,4
pic366.pgm,5
pic193.pgm,18
pic334.pgm,9
pic73.pgm,16
pic206.pgm,5
pic40.pgm,10
pic32.pgm,16
pic306.pgm,12
pic38.pgm,25
pic290.pgm,23
pic109.pgm,12
pic54.pgm,15
pic275.pgm,12
pic295.pgm,20
pic391.pgm,19
pic378.pgm,27
pic212.pgm,11
pic307.pgm,26
pic55.pgm,11
pic4.pgm,8
pic13.pgm,14
pic92.pgm,21
pic17.pgm,6
pic189.pgm,6
pic43.pgm,25
pic342.pgm,15
pic164.pgm,8
pic16.pgm,2
pic346.pgm,10
pic320.pgm,7
pic197.pgm,27
pic291.pgm,11
pic124.pgm,18
pic314.pgm,5
pic174.pgm,17
pic131.pgm,8
pic123.pgm,14
pic44.pgm,16
pic81.pgm,9
pic2.pgm,25
pic10.pgm,17
pic253.pgm,24
pic288.pgm,3
pic74.pgm,18
pic338.pgm,19
pic104.pgm,19
pic303.pgm,6
pic34.pgm,18
pic276.pgm,8
pic337.pgm,7
pic376.pgm,24
pic361.pgm,18
pic347.pgm,9
pic354.pgm,9
pic82.pgm,23
pic332.pgm,15
pic116.pgm,27
pic380.pgm,24
pic214.pgm,23
pic89.pgm,14
pic316.pgm,14
pic50.pgm,12
pic226.pgm,2
pic67.pgm,21
pic183.pgm,15
pic336.pgm,13
pic11.pgm,27
pic100.pgm,25
pic122.pgm,18
pic20.pgm,4
pic103.pgm,19
pic222.pgm,10
pic318.pgm,16
pic48.pgm,18
pic381.pgm,13
pic83.pgm,12
pic349.pgm,18
pic19.pgm,11
pic126.pgm,17
pic194.pgm,3
pic208.pgm,8
pic87.pgm,10
pic317.pgm,7
pic162.pgm,10
pic353.pgm,7
pic65.pgm,22
pic150.pgm,26
pic159.pgm,25
pic232.pgm,11
pic179.pgm,25
pic88.pgm,11
pic266.pgm,7
pic384.pgm,20
pic362.pgm,11
pic190.pgm,23
pic28.pgm,23
pic227.pgm,23
pic238.pgm,4
pic9.pgm,14
pic369.pgm,18
pic350.pgm,18
pic147.pgm,22
pic61.pgm,13
pic76.pgm,7
pic296.pgm,12
pic167.pgm,27
pic263.pgm,5
pic155.pgm,15
pic246.pgm,22
pic327.pgm,8
pic375.pgm,26
pic311.pgm,22
pic385.pgm,9
pic249.pgm,24
pic348.pgm,24
pic233.pgm,20
pic71.pgm,3
pic382.pgm,7
pic258.pgm,4
pic96.pgm,23
pic51.pgm,14
pic202.pgm,7
pic120.pgm,20
pic107.pgm,7
pic207.pgm,23
pic357.pgm,22
pic201.pgm,19
pic204.pgm,6
pic182.pgm,14
pic285.pgm,26
pic84.pgm,9
pic114.pgm,11
pic153.pgm,13
pic62.pgm,24
pic287.pgm,9
pic260.pgm,4
pic66.pgm,18
pic364.pgm,6
pic31.pgm,3
pic356.pgm,26
pic14.pgm,22
pic39.pgm,20
pic93.pgm,14
pic171.pgm,23
pic192.pgm,8
pic132.pgm,23
pic102.pgm,6
pic259.pgm,20
pic69.pgm,17
pic33.pgm,25
pic392.pgm,17
pic7.pgm,26
pic42.pgm,9
pic6.pgm,19
pic148.pgm,19
pic140.pgm,24
pic99.pgm,5
pic224.pgm,15
pic379.pgm,12
pic370.pgm,8
pic383.pgm,26
